constructor_id,nationality,wins,pole_positions,Points,Constructor_Championships,Driver_Championships
ferrari,Italian,230.0,193.0,4093.5,16.0,15.0
force_india,Indian,0.0,1.0,13.0,0.0,0.0
hrt,Spanish,0.0,0.0,0.0,0.0,0.0
lotus_racing,Malaysian,0.0,0.0,0.0,0.0,0.0
mclaren,British,164.0,145.0,3381.5,8.0,12.0
mercedes,German,9.0,8.0,0.0,0.0,2.0
red_bull,Austrian,6.0,5.0,256.5,0.0,0.0
renault,French,35.0,51.0,1082.0,2.0,2.0
sauber,Swiss,1.0,1.0,544.0,0.0,0.0
toro_rosso,Italian,1.0,1.0,56.0,0.0,0.0
virgin,British,0.0,0.0,0.0,0.0,0.0
williams,British,113.0,125.0,2600.0,9.0,7.0
caterham,Malaysian,0.0,0.0,0.0,0.0,0.0
lotus_f1,British,0.0,0.0,0.0,0.0,0.0
marussia,Russian,0.0,0.0,0.0,0.0,0.0
manor,British,0.0,0.0,0.0,0.0,0.0
haas,American,0.0,0.0,0.0,0.0,0.0
alfa,Swiss,10.0,12.0,50.0,0.0,2.0
racing_point,British,0.0,0.0,0.0,0.0,0.0
alphatauri,Italian,0.0,0.0,0.0,0.0,0.0
alpine,French,0.0,0.0,0.0,0.0,0.0
aston_martin,British,0.0,0.0,0.0,0.0,0.0
