driver_id,nationality,year_of_birth,wins,poles,championships,career_points,height (cm),weight (kg)
alguersuari,Spanish,1990,0,0,0,0.0,181.0,65.0
alonso,Spanish,1981,21,18,2,577.0,171.0,68.0
barrichello,Brazilian,1972,11,14,0,607.0,172.0,77.0
buemi,Swiss,1988,0,0,0,6.0,172.0,55.0
button,British,1980,7,7,1,327.0,182.0,72.0
chandhok,Indian,1984,0,0,0,0.0,173.0,67.0
rosa,Spanish,1971,0,0,0,29.0,177.0,74.0
grassi,Brazilian,1984,0,0,0,0.0,179.0,73.0
glock,German,1982,0,0,0,51.0,169.0,64.0
hamilton,British,1985,11,17,1,256.0,175.0,66.0
heidfeld,German,1977,0,1,0,219.0,165.0,59.0
hulkenberg,German,1987,0,0,0,0.0,184.0,70.0
klien,Austrian,1983,0,0,0,14.0,169.0,68.0
kobayashi,Japanese,1986,0,0,0,3.0,170.0,57.0
kovalainen,Finnish,1981,1,1,0,105.0,172.0,66.0
kubica,Polish,1984,1,1,0,137.0,183.0,72.0
liuzzi,Italian,1980,0,0,0,5.0,169.0,68.0
massa,Brazilian,1981,11,15,0,320.0,166.0,59.0
petrov,Russian,1984,0,0,0,0.0,185.0,75.0
rosberg,German,1985,0,0,0,75.5,178.0,71.0
michael_schumacher,German,1969,91,68,7,1369.0,174.0,75.0
bruno_senna,Brazilian,1983,0,0,0,0.0,180.0,69.0
sutil,German,1983,0,0,0,6.0,183.0,75.0
trulli,Italian,1974,1,4,0,246.5,173.0,60.0
vettel,German,1987,5,5,0,125.0,176.0,58.0
webber,Australian,1976,2,1,0,169.5,185.0,75.0
yamamoto,Japanese,1982,0,0,0,0.0,172.0,62.0
ambrosio,Belgian,1985,0,0,0,0.0,172.0,62.0
resta,British,1986,0,0,0,0.0,185.0,74.0
karthikeyan,Indian,1977,0,0,0,5.0,167.0,60.0
maldonado,Venezuelan,1985,0,0,0,0.0,173.0,63.0
perez,Mexican,1990,0,0,0,0.0,173.0,63.0
ricciardo,Australian,1989,0,0,0,0.0,175.0,64.0
grosjean,French,1986,0,0,0,0.0,180.0,71.0
pic,French,1990,0,0,0,0.0,178.0,60.0
raikkonen,Finnish,1979,19,16,1,579.0,175.0,62.0
vergne,French,1990,0,0,0,0.0,182.0,69.0
jules_bianchi,French,1989,0,0,0,0.0,174.0,65.0
bottas,Finnish,1989,0,0,0,0.0,173.0,70.0
chilton,British,1991,0,0,0,0.0,181.0,64.0
gutierrez,Mexican,1991,0,0,0,0.0,180.0,61.0
garde,Dutch,1985,0,0,0,0.0,182.0,73.0
ericsson,Swedish,1990,0,0,0,0.0,180.0,64.0
kvyat,Russian,1994,0,0,0,0.0,175.0,58.0
lotterer,German,1981,0,0,0,0.0,,
kevin_magnussen,Danish,1992,0,0,0,0.0,174.0,68.0
stevens,British,1991,0,0,0,0.0,173.0,64.0
merhi,Spanish,1991,0,0,0,0.0,179.0,79.0
nasr,Brazilian,1992,0,0,0,0.0,174.0,71.0
rossi,American,1991,0,0,0,0.0,187.0,72.0
sainz,Spanish,1994,0,0,0,0.0,177.0,66.0
max_verstappen,Dutch,1997,0,0,0,0.0,180.0,67.0
haryanto,Indonesian,1993,0,0,0,0.0,170.0,58.0
ocon,French,1996,0,0,0,0.0,186.0,66.0
jolyon_palmer,British,1991,0,0,0,0.0,183.0,78.0
vandoorne,Belgian,1992,0,0,0,0.0,177.0,65.0
wehrlein,German,1994,0,0,0,0.0,175.0,61.0
gasly,French,1996,0,0,0,0.0,177.0,68.0
giovinazzi,Italian,1993,0,0,0,0.0,185.0,70.0
brendon_hartley,New Zealander,1989,0,0,0,0.0,184.0,67.0
stroll,Canadian,1998,0,0,0,0.0,182.0,70.0
leclerc,Monegasque,1997,0,0,0,0.0,180.0,65.0
sirotkin,Russian,1995,0,0,0,0.0,184.0,71.0
albon,Thai,1996,0,0,0,0.0,186.0,74.0
norris,British,1999,0,0,0,0.0,170.0,64.0
russell,British,1998,0,0,0,0.0,185.0,70.0
aitken,British,1995,0,0,0,0.0,,
pietro_fittipaldi,Brazilian,1996,0,0,0,0.0,,
latifi,Canadian,1995,0,0,0,0.0,185.0,74.0
mazepin,Russian,1999,0,0,0,0.0,176.0,68.0
mick_schumacher,German,1999,0,0,0,0.0,170.0,60.0
tsunoda,Japanese,2000,0,0,0,0.0,158.0,61.0
de_vries,Dutch,1995,0,0,0,0.0,167.0,67.0
zhou,Chinese,1999,0,0,0,0.0,,
